tipo_operacion|last_date_load|inicial_date_load|tipo_propiedad|titulo|codigo|construye|link_publicacion|publicada|inmobiliaria|precio_clp|precio_uf|direccion|nombre_region|zona|superficie_util|dormitorios|banios|estado_proyecto|fecha_entrega|superficie_total|latitud|longitud|id_oportunidad
venta|2022-12-19|2022-11-03|departamento|Edificio Hurtado de Mendoza|7916|Constructora VRK SpA|https://www.portalinmobiliario.com/venta/departamento/la-florida-metropolitana/7916-edificio-hurtado-de-mendoza-nva|identidad verificada|Inmobiliaria M 71|124404680|3558|García Hurtado De Mendoza 8227, La Florida, RM (Metropolitana)|Metropolitana de Santiago|Centro|56.89 - 61.88 m²|2|2|Entrega inmediata|||-33.5285959|-70.5828457|
venta|2022-11-03|2022-11-03|departamento|Las Malvas|8098|Grupo Santafe|https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/8098-las-malvas-nva|identidad verificada|Inmobiliaria Santafe|456644048|13171|Las Malvas 788, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)|||111.6 - 139.37 m²|2 - 3|2 - 3|Pronta entrega|2 Semestre 2022||-33.4135647|-70.5662218|
venta|2023-01-17|2022-11-03|casa|Portal Austral|10693|Constructora Socovesa Sur|https://www.portalinmobiliario.com/venta/casa/puerto-montt-los-lagos/10693-portal-austral-nva|identidad verificada|Inmobiliaria Socovesa Sur|190384212|5490|Avenida Austral 1360, Puerto Montt, Los Lagos|Los Ríos|Sur|87 - 103 m²|3|3|Venta en verde|Mayo 2024||-41.44604|-72.93846|
venta|2023-03-09|2022-11-03|departamento|Edificio Rapallo|8563|Constructora Almagro S.A.|https://www.portalinmobiliario.com/venta/departamento/antofagasta-antofagasta/8563-edificio-rapallo-nva|Almagro|Almagro|188274417|5290|Av. Cerro Paranal 380, Coviefi, Antofagasta, Antofagasta|Antofagasta|Norte + V|70.03 - 86.58 m²|2 - 3|2|Entrega inmediata|||-23.6949256|-70.4171413|
venta|2023-03-30|2022-11-03|departamento|Eco Costas|8196||https://www.portalinmobiliario.com/venta/departamento/concon-valparaiso/8196-eco-costas-nva|identidad verificada|Inmobiliaria Fundamenta|138179839|3917|Avenida Concón Reñaca 4357, Costas de Montemar, Concón, Valparaíso|Valparaíso|Norte + V|54.53 - 57.46 m²|2|1 - 2|Entrega inmediata|||-32.9363465|-71.5454937|
venta|2023-04-12|2022-11-03|departamento|Las Heras|9160|Constructora Carran S.A.|https://www.portalinmobiliario.com/venta/departamento/concepcion-biobio/9160-las-heras-nva|identidad verificada|Inmobiliaria Proyección|72377680|1955|Las Heras 1750, Barrio Oriente - Las Tres Pascualas, Concepción, Biobío|Biobío|Sur|21.3 - 49.8 m²|1 - 2|1 - 2|Entrega inmediata|||-36.8168355|-73.0391695|
venta|2023-04-12|2022-12-07|departamento|Edificio Bremen|10794|CHF|https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/10794-edificio-bremen-nva|identidad verificada|Inmobiliaria Townhouse Ortuzar|175002196|4727|Bremen 1730, Diego de Almagro, Ñuñoa, RM (Metropolitana)|Metropolitana de Santiago|Centro|37.5 - 92.01 m²|1 - 3|1 - 3||1 Semestre 2025||-33.4386492|-70.5795032|
venta|2023-04-12|2022-11-03|departamento|Condominio Doña Sofía|10678|Aitue|https://www.portalinmobiliario.com/venta/departamento/talcahuano-biobio/10678-condominio-dona-sofia-nva|identidad verificada|Inmobiliaria Aitue|87334500|2359|Santa Claudia 5100, Talcahuano, Biobío|||54.23 - 65.94 m²|3|1 - 2||1 Trimestre 2024||-36.7590292|-73.0980382|
venta|2023-04-12|2022-11-03|departamento|Edificio Cotapos|8446|Constructora FG|https://www.portalinmobiliario.com/venta/departamento/independencia-metropolitana/8446-edificio-cotapos-nva|identidad verificada|Inmobiliaria Fg|93739277|2532|Cotapos 1369, Plaza Chacabuco, Independencia, RM (Metropolitana)|Metropolitana de Santiago|Centro|34 - 71 m²|1 - 2|1 - 2|Entrega inmediata|||-33.4083002|-70.6597198|
venta|2023-04-12|2022-11-03|casa|Townhouse Camino El Alba|10195|Constructora PDR|https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/10195-townhouse-camino-el-alba-nva|identidad verificada|Inmobiliaria Norfolk|666022743|17990|Camino El Alba 9142, Los Dominicos, Las Condes, RM (Metropolitana)|Metropolitana de Santiago|Centro|138 m²|3|3||1 Semestre 2023||-33.405364|-70.540916|
venta|2023-04-12|2022-11-03|casa|Townhouse Vistasol|8682|Desco|https://www.portalinmobiliario.com/venta/casa/quilpue-valparaiso/8682-townhouse-vistasol-nva|Desco|Desco|183258064|4950|Av. Camino Del Sol 2100, Paso Hondo, Quilpué, Valparaíso|Valparaíso|Norte + V|83.2 m²|3|3||2 Semestre 2023||-33.0345775|-71.4779042|
venta|2023-04-12|2022-11-03|casa|Parque Alihuen Etapa II|10006|Constructora GPS Spa|https://www.portalinmobiliario.com/venta/casa/colina-metropolitana/10006-parque-alihuen-etapa-ii-nva|identidad verificada|García Bruce|235569912|6363|Santa Filomena Lateral Km 16, Chicureo, Colina, RM (Metropolitana)|Metropolitana de Santiago|Centro|101.08 - 139.11 m²|3|3 - 4||2 Semestre 2023||-33.2148623|-70.673232|
venta|2023-04-12|2022-11-03|departamento|Eco Florida I|10211||https://www.portalinmobiliario.com/venta/departamento/la-florida-metropolitana/10211-eco-florida-i-nva|identidad verificada|Inmobiliaria Fundamenta|93739277|2532|Froilán Roa 1201, La Florida, RM (Metropolitana)|Metropolitana de Santiago|Centro|28.2 - 52.5 m²|1 - 2|1 - 2||2 Semestre 2026||-33.518735|-70.5932596|
venta|2023-04-12|2022-11-03|departamento|Aires de Quintay|10450||https://www.portalinmobiliario.com/venta/departamento/casablanca-valparaiso/10450-aires-de-quintay-nva|identidad verificada|Ssilva Gestión Inmobiliaria|220613092|5959|Avenida De La Loma 115, Lote 2c, Quintay, Casablanca, Valparaíso|Valparaíso|Norte + V|56 - 84 m²|2 - 3|2||2 Semestre 2025||-33.1951261|-71.6784569|
